DistCode,District,College Code,College Name,OC,BCM,BC,MBC,SCA,SC,ST
11,KRISHNAGIRI,2621,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING,,,,,,,
11,KRISHNAGIRI,2603,GOVERNMENT COLLEGE OF ENGINEERING - BARGUR,,,,,,,
11,KRISHNAGIRI,2362,HOSUR INSTITUTE OF TECHNOLOGY AND SCIENCE,,,,,,,
11,KRISHNAGIRI,2642,P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
11,KRISHNAGIRI,2340,SRI VENKATESHWARA INSTITUTE OF ENGINEERING,,,,,,,
12,MADURAI,5531,C.R. ENGINEERING COLLEGE,,,,,,,
12,MADURAI,5935,FATIMA MICHAEL COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
12,MADURAI,5990,LATHA MATHAVAN ENGINEERING COLLEGE,,,,,,,
12,MADURAI,5536,MANGAYARKARASI COLLEGE OF ENGINEERING,,,,,,,
12,MADURAI,5911,P.T.R.COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
12,MADURAI,5914,RAJA COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
12,MADURAI,5915,SACS M.A.V.M.M ENGINEERING COLLEGE,,,,,,,
12,MADURAI,5008,THIAGARAJAR COLLEGE OF ENGINEERING (AUTONOMOUS),,,,,,,
12,MADURAI,5942,ULTRA COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,,,,,,,
12,MADURAI,5532,VAIGAI COLLEGE OF ENGINEERING,,,,,,,
12,MADURAI,5986,VELAMMAL COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
12,MADURAI,5922,VICKRAM COLLEGE OF ENGINEERING,,,,,,,
13,NAGAPATTINAM,3801,A.V.C COLLEGE OF ENGINEERING,,,,,,,
13,NAGAPATTINAM,3806,E.G.S.PILLAY ENGINEERING COLLEGE,,,,,,,
13,NAGAPATTINAM,3461,HAJI SHEIK ISMAIL ENGINEERING COLLEGE,,,,,,,
13,NAGAPATTINAM,3859,SEMBODAI RUKMANI VARATHARAJAN ENGINEERING COLLEGE,,,,,,,
13,NAGAPATTINAM,3760,SIR ISSAC NEWTON COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
13,NAGAPATTINAM,3018,UNIVERSITY COLLEGE OF ENGINEERING  THIRUKKUVALAI,,,,,,,
14,NAMAKKAL,2602,ANNAI MATHAMMAL SHEELA ENGINEERING COLLEGE,,,,,,,
14,NAMAKKAL,2635,CMS COLLEGE OF ENGINEERING,,,,,,,
14,NAMAKKAL,2662,DR.NAGARATHINAM'S COLLEGE OF ENGINEERING,,,,,,,
14,NAMAKKAL,2664,EXCEL COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
14,NAMAKKAL,2634,EXCEL ENGINEERING COLLEGE,,,,,,,
14,NAMAKKAL,2660,GNANAMANI COLLEGE OF ENGINEERING,,,,,,,
14,NAMAKKAL,2624,GNANAMANI COLLEGE OF TECHNOLOGY,,,,,,,
14,NAMAKKAL,2647,J.K.K. NATTRAJA COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
14,NAMAKKAL,2328,K S R INSTITUTE FOR ENGINEERING AND TECHNOLOGY,,,,,,,
14,NAMAKKAL,2613,K.S.R. COLLEGE OF ENGINEERING (AUTONOMOUS),,,,,,,
14,NAMAKKAL,2607,K.S.RANGASAMY COLLEGE OF TECHNOLOGY (AUTONOMOUS),,,,,,,
14,NAMAKKAL,2631,KING COLLEGE OF TECHNOLOGY,,,,,,,
14,NAMAKKAL,2609,MAHENDRA ENGINEERING COLLEGE (AUTONOMOUS),,,,,,,
14,NAMAKKAL,2638,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,,,,,,,
14,NAMAKKAL,2665,MAHENDRA INSTITUTE OF ENGINEERING AND TECHNOLOGY,,,,,,,
14,NAMAKKAL,2632,MAHENDRA INSTITUTE OF TECHNOLOGY,,,,,,,
14,NAMAKKAL,2314,MUTHAYAMMAL COLLEGE OF ENGINEERING,,,,,,,
14,NAMAKKAL,2610,MUTHAYAMMAL ENGINEERING COLLEGE,,,,,,,
14,NAMAKKAL,2612,P G P COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
