DistCode,District,College Code,College Name,Branch,OC,BCM,BC,MBC,SCA,SC,ST
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,MANUFACTURING ENGINEERING,197.5,195.5,196.75,196.0,188.75,190.5,0.0
3,COIMBATORE,2604,A.S.L. PAULS COLLEGE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGG.,99.25,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2604,A.S.L. PAULS COLLEGE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,146.5,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2604,A.S.L. PAULS COLLEGE OF ENGINEERING AND TECHNOLOGY,AUTOMOBILE ENGINEERING,118.0,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2604,A.S.L. PAULS COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGG.,107.0,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2604,A.S.L. PAULS COLLEGE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,167.0,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2744,ADITHYA INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGG.,90.5,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2744,ADITHYA INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,129.5,125.25,91.0,79.75,0.0,99.75,0.0
3,COIMBATORE,2744,ADITHYA INSTITUTE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGG.,148.5,119.5,120.25,97.75,0.0,0.0,0.0
3,COIMBATORE,2744,ADITHYA INSTITUTE OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGG.,129.25,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2744,ADITHYA INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,137.75,0.0,103.5,89.25,0.0,130.0,0.0
3,COIMBATORE,2763,AKSHAYA COLLEGE OF ENGINEERING & TECHNOLOGY,COMPUTER SCIENCE AND ENGG.,154.75,145.0,110.0,92.25,0.0,0.0,0.0
3,COIMBATORE,2763,AKSHAYA COLLEGE OF ENGINEERING & TECHNOLOGY,MECHANICAL ENGINEERING,144.5,95.75,115.25,108.0,0.0,118.25,0.0
3,COIMBATORE,2763,AKSHAYA COLLEGE OF ENGINEERING & TECHNOLOGY,MECHATRONICS,116.75,113.75,89.0,103.75,0.0,0.0,0.0
3,COIMBATORE,2763,AKSHAYA COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGG.,152.75,0.0,91.75,100.0,0.0,0.0,0.0
3,COIMBATORE,2763,AKSHAYA COLLEGE OF ENGINEERING & TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGG.,123.25,122.0,96.25,120.25,0.0,0.0,0.0
3,COIMBATORE,2763,AKSHAYA COLLEGE OF ENGINEERING & TECHNOLOGY,CIVIL ENGINEERING,130.25,121.0,97.0,79.5,126.75,113.0,0.0
3,COIMBATORE,2367,ARJUN COLLEGE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGG.,100.25,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2367,ARJUN COLLEGE OF TECHNOLOGY,MECHANICAL ENGINEERING,165.25,161.25,131.25,114.75,0.0,104.75,0.0
3,COIMBATORE,2367,ARJUN COLLEGE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGG.,132.25,0.0,96.0,90.5,118.0,91.0,0.0
3,COIMBATORE,2367,ARJUN COLLEGE OF TECHNOLOGY,CIVIL ENGINEERING,106.5,91.0,96.5,87.25,0.0,85.0,0.0
3,COIMBATORE,2338,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGG.,119.75,0.0,0.0,0.0,0.0,0.0,0.0
